,Manufacturer,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_range,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
0,Acura,16.919,16.36,Passenger,20 to 25,21.5,1.8,150,101.2,67.3,172.4,3.0,13.2,28,58.28014952
1,Acura,39.384,19.875,Passenger,30 to 35,28.4,3.2,250,108.1,70.3,192.9,4.0,17.2,26,91.37077766
3,Acura,8.588,29.725,Passenger,40 to 45,42.0,3.5,250,114.6,71.4,196.6,4.0,18.0,22,91.38977933
4,Audi,20.397,22.255,Passenger,20 to 25,23.99,1.8,150,102.6,68.2,178.0,3.0,16.4,28,62.7776392
5,Audi,18.78,23.555,Passenger,30 to 35,33.95,2.8,200,108.7,76.1,192.0,4.0,18.5,22,84.56510502
6,Audi,1.38,39.0,Passenger,60 to 65,62.0,4.2,350,113.0,74.0,198.2,4.0,23.7,22,134.6568582
8,BMW,9.231,28.675,Passenger,30 to 35,33.4,2.8,200,107.3,68.5,176.0,3.5,16.6,24,81.87706856
9,BMW,17.527,36.125,Passenger,35 to 40,38.9,2.8,200,111.4,70.9,188.0,3.5,18.5,26,83.9987238
10,Buick,91.561,12.475,Passenger,20 to 25,21.975,3.1,200,109.0,72.7,194.6,3.5,17.5,26,71.18145132
11,Buick,39.35,13.74,Passenger,25 to 30,25.3,3.8,250,109.0,72.7,196.2,4.0,17.5,24,95.63670253
12,Buick,27.851,20.19,Passenger,30 to 35,31.965,3.8,250,113.8,74.7,206.8,4.0,18.5,24,85.82840825
13,Buick,83.257,13.36,Passenger,25 to 30,27.885,3.8,250,112.2,73.5,200.0,4.0,17.5,26,84.25452581
14,Cadillac,63.729,22.525,Passenger,35 to 40,39.895,4.6,300,115.3,74.5,207.2,4.0,18.5,22,113.8545976
16,Cadillac,6.536,25.725,Passenger,35 to 40,39.665,4.6,300,108.0,75.5,200.6,4.0,19.0,22,113.7658739
17,Cadillac,11.185,18.225,Passenger,30 to 35,31.01,3.0,200,107.4,70.3,194.8,4.0,18.0,22,83.48309358
19,Chevrolet,145.519,9.25,Passenger,10 to 15,13.26,2.2,150,104.1,67.9,180.9,3.0,14.3,28,46.36334747
