STATE,STATE CODE,MAKE,MODEL,EV_VEHICLES,MILES/kWh,latitude,longitude
ALABAMA,AL,TESLA,MODEL 3,3553,4,32.318231,-86.902298
ALABAMA,AL,CHEVROLET,VOLT,1705,3.5,32.318231,-86.902298
ALABAMA,AL,TESLA,MODEL S,1606,4,32.318231,-86.902298
ALABAMA,AL,TESLA,MODEL Y,1268,4,32.318231,-86.902298
ALABAMA,AL,NISSAN,LEAF,963,3,32.318231,-86.902298
ALABAMA,AL,CHEVROLET,BOLT,701,3.5,32.318231,-86.902298
ALABAMA,AL,TESLA,MODEL X,673,4,32.318231,-86.902298
ALABAMA,AL,FORD,FUSION,669,3,32.318231,-86.902298
ALABAMA,AL,TOYOTA,PRIUS PRIME,652,2,32.318231,-86.902298
ALABAMA,AL,CHRYSLER,PACIFICA,543,3,32.318231,-86.902298
ALABAMA,AL,JEEP,WRANGLER,498,2,32.318231,-86.902298
ALABAMA,AL,BMW,I3,398,3.5,32.318231,-86.902298
ALABAMA,AL,FORD,C-MAX,398,3,32.318231,-86.902298
ALABAMA,AL,FORD,MUSTANG MACH-E,382,3,32.318231,-86.902298
ALABAMA,AL,BMW,X5,372,2,32.318231,-86.902298
ALABAMA,AL,BMW,330,264,2,32.318231,-86.902298
ALABAMA,AL,BMW,530,263,2,32.318231,-86.902298
ALABAMA,AL,HONDA,CLARITY,250,3.5,32.318231,-86.902298
ALABAMA,AL,VOLVO,XC90,231,2,32.318231,-86.902298
ALABAMA,AL,VOLKSWAGEN,ID4,197,3,32.318231,-86.902298
ALABAMA,AL,KIA,NIRO,167,3.5,32.318231,-86.902298
ALABAMA,AL,GEM,E825,164,3,32.318231,-86.902298
ALABAMA,AL,TOYOTA,RAV4,162,2,32.318231,-86.902298
ALABAMA,AL,TOYOTA,PRIUS PLUG-IN,155,2,32.318231,-86.902298
ALABAMA,AL,PORSCHE,TAYCAN,149,2,32.318231,-86.902298
ALABAMA,AL,AUDI,E-TRON,147,2,32.318231,-86.902298
ALABAMA,AL,GEM,E4 4-PASSENGER LOW SPEED VEHICLE,147,3,32.318231,-86.902298
ALABAMA,AL,VOLVO,XC60,129,2,32.318231,-86.902298
ALABAMA,AL,PORSCHE,CAYENNE,113,2,32.318231,-86.902298
ALABAMA,AL,BMW,I8,112,2,32.318231,-86.902298
ALABAMA,AL,MITSUBISHI,OUTLANDER,111,3.5,32.318231,-86.902298
ALABAMA,AL,AUDI,Q5 E,104,2.5,32.318231,-86.902298
ALABAMA,AL,LINCOLN,AVIATOR,91,3,32.318231,-86.902298
ALABAMA,AL,FIAT,500,82,3.5,32.318231,-86.902298
ALABAMA,AL,PORSCHE,PANAMERA,68,2,32.318231,-86.902298
